Employee_ID,Department,Years_of_Experience,Full_Time,Performance_Score,Salary,First_Name,Last_Name,Date_of_Birth,Gender,Education_Level,Location,Remote_Work,Hire_Date,Last_Performance_Review_Date,Project_Count,Bonus,Employee_Satisfaction_Score,Department_Budget,Training_Hours_Last_Year,Number_of_Direct_Reports
22,IT,7.436002737850787,True,Poor,94425.0,Jessica,Gonzalez,1975-12-28 00:53:52,Female,Master's,"London, England",False,2016-10-06 06:47:50,2017-03-12 06:47:50,2,1500,3.5,100000,10,8
23,Marketing,8.06,False,Excellent,75650.0,Joseph,Rodriguez,1975-03-13 07:24:41,Other,Ph.D.,"London, England",False,2015-08-23 09:21:34,2015-10-24 09:21:34,6,2000,3.01,125000,17,0
24,Finance,13.880903490759753,True,Average,105075.0,Joseph,Anderson,1963-05-15 15:34:45,Other,Ph.D.,"Birmingham, England",True,2010-04-27 06:57:33,2010-11-18 06:57:33,7,500,4.43,75000,46,8
25,Marketing,4.566735112936345,True,Excellent,79800.0,Charles,Gonzalez,1960-12-17 06:26:04,Female,Bachelor's,"Birmingham, England",False,2019-08-20 17:04:41,2019-10-10 17:04:41,2,1500,3.63,50000,11,7
26,Finance,8.55,True,Excellent,75875.0,Barbara,Smith,1963-02-20 10:32:56,Other,Master's,"Belfast, Northern Ireland",True,2011-01-30 18:43:46,2011-10-24 18:43:46,2,500,1.65,150000,8,0
27,HR,9.437371663244353,True,Good,81350.0,Karen,Miller,1999-08-21 01:53:52,Male,Master's,"Birmingham, England",True,2014-10-06 01:35:55,2015-04-11 01:35:55,1,1000,1.28,125000,9,5
28,HR,5.13,False,Average,65325.0,John,Rodriguez,1963-05-16 13:19:22,Female,High School,"Cardiff, Wales",False,2016-10-19 06:32:47,2016-12-25 06:32:47,8,0,3.57,50000,43,4
29,Finance,5.0513347022587265,False,Good,74725.0,Robert,Smith,1975-03-23 05:42:18,Male,Master's,"Glasgow, Scotland",True,2019-02-24 15:12:25,2019-11-10 15:12:25,1,1000,1.11,150000,16,5
30,Finance,6.685831622176591,True,Excellent,74550.0,Charles,Lopez,1978-12-26 06:39:37,Male,High School,"Bristol, England",True,2017-07-07 01:08:08,2017-09-25 01:08:08,9,1500,3.34,50000,37,9
31,IT,11.937029431895962,True,Good,104700.0,Michael,Davis,1966-05-08 18:18:39,Female,Master's,"Liverpool, England",True,2012-04-06 23:23:31,2013-01-24 23:23:31,6,500,4.76,100000,6,4
32,Finance,2.08,False,Poor,56200.0,William,Hernandez,1999-10-05 14:08:27,Other,Bachelor's,"Birmingham, England",False,2014-01-13 22:31:23,2014-11-21 22:31:23,7,500,3.3,50000,45,5
33,HR,3.65,False,Poor,61125.0,Michael,Jackson,1991-09-06 03:01:34,Male,Master's,"Manchester, England",False,2011-06-23 07:42:40,2011-08-18 07:42:40,7,2000,2.55,50000,12,4
34,HR,1.5277207392197125,True,Poor,89475.0,Sarah,Taylor,1972-05-01 01:41:17,Female,High School,"London, England",True,2022-09-03 03:55:27,2023-05-16 03:55:27,3,500,3.57,50000,39,4
35,Finance,1.894592744695414,True,Poor,87825.0,Patricia,Davis,1998-10-24 04:10:22,Male,High School,"Cardiff, Wales",False,2022-04-22 18:29:17,2023-02-22 18:29:17,2,2000,2.83,125000,41,3
36,IT,7.27,False,Average,71675.0,Susan,Williams,1976-02-11 00:01:01,Male,Bachelor's,"Newcastle, England",False,2013-01-09 08:25:47,2013-11-20 08:25:47,9,0,3.18,50000,8,2
37,IT,6.26694045174538,False,Poor,87650.0,Sarah,Williams,1987-03-05 20:06:10,Male,Master's,"Liverpool, England",False,2017-12-07 18:47:32,2018-04-12 18:47:32,8,1500,4.77,150000,49,2
38,IT,10.740588637919233,False,Good,105550.0,William,Smith,1961-12-08 14:20:38,Male,Master's,"Bristol, England",False,2013-06-17 12:55:00,2014-04-26 12:55:00,7,2000,2.54,100000,26,3
39,Finance,13.160848733744011,False,Good,96000.0,Mary,Jones,1972-07-29 22:52:47,Other,Bachelor's,"Liverpool, England",True,2011-01-15 14:30:55,2011-12-27 14:30:55,9,0,4.84,100000,1,8
40,HR,11.64,True,Excellent,86100.0,Karen,Martinez,1966-04-28 01:29:38,Male,Master's,"Birmingham, England",True,2011-02-07 17:25:14,2012-01-06 17:25:14,4,500,4.62,50000,4,1
41,Finance,1.12,True,Average,54800.0,Joseph,Miller,1974-08-21 02:00:18,Male,Master's,"Belfast, Northern Ireland",False,2018-09-02 21:32:38,2019-02-25 21:32:38,4,500,1.78,125000,28,8
42,Marketing,2.083504449007529,False,Good,86200.0,Michael,Rodriguez,1984-07-16 03:16:22,Male,High School,"London, England",False,2022-02-12 16:40:40,2022-03-17 16:40:40,1,0,1.28,125000,36,0
43,Marketing,10.269678302532512,True,Poor,96025.0,Barbara,Miller,1983-03-17 19:12:20,Other,Master's,"London, England",True,2013-12-06 04:51:52,2014-02-08 04:51:52,8,500,1.4,150000,37,0
44,HR,2.28,False,Average,57700.0,Linda,Rodriguez,1968-11-07 17:34:30,Male,Master's,"Newcastle, England",True,2020-04-04 01:23:30,2020-11-11 01:23:30,3,0,1.07,50000,18,4
45,Finance,11.189596167008897,True,Excellent,84375.0,Joseph,Davis,1961-10-21 09:42:41,Male,Bachelor's,"Belfast, Northern Ireland",False,2013-01-04 02:33:38,2013-03-23 02:33:38,7,2000,1.38,100000,7,5
46,Finance,12.555783709787816,True,Good,92625.0,John,Lopez,1968-08-12 01:46:53,Other,Bachelor's,"Glasgow, Scotland",True,2011-08-24 19:40:07,2011-10-09 19:40:07,2,2000,3.73,125000,47,5
47,IT,7.38,True,Average,73950.0,Susan,Johnson,1962-03-04 16:29:13,Other,Ph.D.,"Edinburgh, Scotland",False,2014-01-06 20:33:57,2014-07-26 20:33:57,2,0,1.28,50000,44,2
48,IT,10.132785763175907,True,Excellent,95400.0,Thomas,Smith,1973-04-17 07:22:28,Other,High School,"Cardiff, Wales",False,2014-01-25 02:54:47,2014-10-01 02:54:47,7,2000,2.28,125000,0,6
49,IT,5.72,True,Average,68800.0,Patricia,Thomas,1991-06-04 19:03:29,Male,Master's,"London, England",True,2011-09-27 19:18:56,2012-04-01 19:18:56,6,2000,4.38,125000,21,8
50,IT,4.32,True,Good,62800.0,Sarah,Jones,1985-01-27 06:33:55,Other,Master's,"Manchester, England",True,2012-04-26 15:32:39,2012-07-10 15:32:39,3,2000,1.09,100000,16,9
